"","cv.sd.GLAMER","gic.GLAMER","cvg.DMRnet","gic.DMRnet","scope.250","scope.100","cv.glmnet","RF","cv.MCP","cv.MCP.g.100","cv.MCP.g.250","cv.grLasso"
"141",0.09375,0.125,0.15625,0.21875,0.03125,0.03125,0.0625,0.0625,0.125,0,0.0625,0.1875
"142",0.125,0.03125,0.09375,0.15625,0.21875,0.21875,0.09375,0.09375,0.0625,0.09375,0.21875,0.0625
"143",0.0625,0.09375,0.0625,0.28125,0.0625,0.125,0.09375,0,0.3125,0.03125,0.125,0.09375
"144",0.125,0.09375,0.1875,0.28125,0.09375,0.28125,0.09375,0.09375,0.375,0.03125,0.15625,0.0625
"145",0.21875,0.21875,0.09375,0.1875,0.15625,0.25,0.1875,0.0625,0.34375,0.0625,0.09375,0
"146",0.09375,0.03125,0.21875,0.09375,0.09375,0.09375,0.09375,0.03125,0.125,0,0.03125,0.03125
"147",0.1875,0.09375,0.09375,0.0625,0.15625,0.03125,0.09375,0.0625,0.0625,0.0625,0.125,0.09375
"148",0.09375,0.09375,0.09375,0.1875,0.09375,0.1875,0.0625,0.09375,0.3125,0.1875,0.15625,0.03125
"149",0.21875,0.09375,0.0625,0.15625,0.09375,0.125,0.09375,0.09375,0.15625,0.125,0.125,0.09375
"150",0.09375,0.09375,0.15625,0.21875,0.21875,0.15625,0.125,0.09375,0.21875,0.0625,0.09375,0.09375
"151",0.21875,0.09375,0.28125,0.0625,0.21875,0.03125,0.0625,0.09375,0.3125,0.0625,0.0625,0.15625
"152",0.0625,0.25,0.15625,0.03125,0.1875,0.1875,0.15625,0.0625,0.15625,0.0625,0.1875,0.0625
"153",0.125,0.125,0.15625,0.15625,0.0625,0.15625,0.09375,0.09375,0.25,0,0.03125,0.0625
"154",0.15625,0.125,0.15625,0.125,0.09375,0.125,0.03125,0.0625,0.21875,0.09375,0.125,0.03125
"155",0.15625,0.15625,0.09375,0.09375,0.1875,0.09375,0.125,0.09375,0.09375,0.1875,0.09375,0.0625
"156",0.21875,0.09375,0.03125,0.03125,0.125,0.0625,0.125,0.0625,0.34375,0.0625,0.03125,0.03125
