"","cv.sd.GLAMER","gic.GLAMER","cvg.DMRnet","gic.DMRnet","scope.32","scope.8","cv.glmnet","cv.MCP","cv.MCP.g.8","cv.MCP.g.32","cv.grLasso"
"188",6,8,8,8,3,4,20,20,20,20,23
"189",6,10,8,8,3,4,19,20,20,23,20
"190",6,8,14,8,2,5,18,20,20,20,23
"191",6,9,14,8,3,4,17,23,23,23,24
"192",5,7,17,6,4,4,20,23,20,23,23
"193",6,9,5,8,3,5,23,23,20,21,23
"194",6,8,7,8,3,4,19,21,23,23,21
"195",6,11,17,8,3,6,21,20,23,23,23
"196",6,11,8,8,6,4,23,20,23,23,23
"197",6,10,18,8,3,4,24,20,23,23,23
"198",8,8,8,7,7,5,22,20,20,23,23
"199",6,8,8,8,3,5,19,23,20,24,20
"200",7,10,8,8,4,4,20,20,20,20,20
